Grid Size,100
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,1,1,1,1,0,-49.0,-49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,1,1,1,0,-48.0,-49.0,3.0
0,1,2,2,1,1,0,-48.0,-48.0,3.0
0,1,1,2,1,1,0,-49.0,-48.0,3.0
0,0,1,2,1,1,0,-49.0,-48.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,-49.0,-49.0,3.0
0,1,2,1,1,1,0,-48.0,-49.0,3.0
0,1,2,2,1,1,0,-48.0,-48.0,3.0
0,1,2,3,1,1,0,-48.0,-47.0,3.0
0,1,1,3,1,1,0,-49.0,-47.0,3.0
0,0,1,3,1,1,0,-49.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,2,1,1,0,-49.0,-48.0,3.0
0,1,2,2,1,1,0,-48.0,-48.0,3.0
0,1,2,3,1,1,0,-48.0,-47.0,3.0
0,1,2,4,1,1,0,-48.0,-46.0,3.0
0,1,1,4,1,1,0,-49.0,-46.0,3.0
0,0,1,4,1,1,0,-49.0,-46.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,3,1,1,0,-49.0,-47.0,3.0
0,1,2,3,1,1,0,-48.0,-47.0,3.0
0,1,2,4,1,1,0,-48.0,-46.0,3.0
0,1,2,5,1,1,0,-48.0,-45.0,3.0
0,1,1,5,1,1,0,-49.0,-45.0,3.0
0,0,1,5,1,1,0,-49.0,-45.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,4,1,1,0,-49.0,-46.0,3.0
0,1,2,4,1,1,0,-48.0,-46.0,3.0
0,1,2,5,1,1,0,-48.0,-45.0,3.0
0,1,2,6,1,1,0,-48.0,-44.0,3.0
0,1,1,6,1,1,0,-49.0,-44.0,3.0
0,0,1,6,1,1,0,-49.0,-44.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,5,1,1,0,-49.0,-45.0,3.0
0,1,2,5,1,1,0,-48.0,-45.0,3.0
0,1,2,6,1,1,0,-48.0,-44.0,3.0
0,1,2,7,1,1,0,-48.0,-43.0,3.0
0,1,1,7,1,1,0,-49.0,-43.0,3.0
0,0,1,7,1,1,0,-49.0,-43.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,6,1,1,0,-49.0,-44.0,3.0
0,1,2,6,1,1,0,-48.0,-44.0,3.0
0,1,2,7,1,1,0,-48.0,-43.0,3.0
0,1,2,8,1,1,0,-48.0,-42.0,3.0
0,1,1,8,1,1,0,-49.0,-42.0,3.0
0,0,1,8,1,1,0,-49.0,-42.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,7,1,1,0,-49.0,-43.0,3.0
0,1,2,7,1,1,0,-48.0,-43.0,3.0
0,1,2,8,1,1,0,-48.0,-42.0,3.0
0,1,2,9,1,1,0,-48.0,-41.0,3.0
0,1,1,9,1,1,0,-49.0,-41.0,3.0
0,0,1,9,1,1,0,-49.0,-41.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,8,1,1,0,-49.0,-42.0,3.0
0,1,2,8,1,1,0,-48.0,-42.0,3.0
0,1,2,9,1,1,0,-48.0,-41.0,3.0
0,1,2,10,1,1,0,-48.0,-40.0,3.0
0,1,1,10,1,1,0,-49.0,-40.0,3.0
0,0,1,10,1,1,0,-49.0,-40.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,9,1,1,0,-49.0,-41.0,3.0
0,1,2,9,1,1,0,-48.0,-41.0,3.0
0,1,2,10,1,1,0,-48.0,-40.0,3.0
0,1,2,11,1,1,0,-48.0,-39.0,3.0
0,1,1,11,1,1,0,-49.0,-39.0,3.0
0,0,1,11,1,1,0,-49.0,-39.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,10,1,1,0,-49.0,-40.0,3.0
0,1,2,10,1,1,0,-48.0,-40.0,3.0
0,1,2,11,1,1,0,-48.0,-39.0,3.0
0,1,2,12,1,1,0,-48.0,-38.0,3.0
0,1,1,12,1,1,0,-49.0,-38.0,3.0
0,0,1,12,1,1,0,-49.0,-38.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,11,1,1,0,-49.0,-39.0,3.0
0,1,2,11,1,1,0,-48.0,-39.0,3.0
0,1,2,12,1,1,0,-48.0,-38.0,3.0
0,1,2,13,1,1,0,-48.0,-37.0,3.0
0,1,1,13,1,1,0,-49.0,-37.0,3.0
0,0,1,13,1,1,0,-49.0,-37.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,12,1,1,0,-49.0,-38.0,3.0
0,1,2,12,1,1,0,-48.0,-38.0,3.0
0,1,2,13,1,1,0,-48.0,-37.0,3.0
0,1,2,14,1,1,0,-48.0,-36.0,3.0
0,1,1,14,1,1,0,-49.0,-36.0,3.0
0,0,1,14,1,1,0,-49.0,-36.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,13,1,1,0,-49.0,-37.0,3.0
0,1,2,13,1,1,0,-48.0,-37.0,3.0
0,1,2,14,1,1,0,-48.0,-36.0,3.0
0,1,2,15,1,1,0,-48.0,-35.0,3.0
0,1,1,15,1,1,0,-49.0,-35.0,3.0
0,0,1,15,1,1,0,-49.0,-35.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,14,1,1,0,-49.0,-36.0,3.0
0,1,2,14,1,1,0,-48.0,-36.0,3.0
0,1,2,15,1,1,0,-48.0,-35.0,3.0
0,1,2,16,1,1,0,-48.0,-34.0,3.0
0,1,1,16,1,1,0,-49.0,-34.0,3.0
0,0,1,16,1,1,0,-49.0,-34.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,15,1,1,0,-49.0,-35.0,3.0
0,1,2,15,1,1,0,-48.0,-35.0,3.0
0,1,2,16,1,1,0,-48.0,-34.0,3.0
0,1,2,17,1,1,0,-48.0,-33.0,3.0
0,1,1,17,1,1,0,-49.0,-33.0,3.0
0,0,1,17,1,1,0,-49.0,-33.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,16,1,1,0,-49.0,-34.0,3.0
0,1,2,16,1,1,0,-48.0,-34.0,3.0
0,1,2,17,1,1,0,-48.0,-33.0,3.0
0,1,2,18,1,1,0,-48.0,-32.0,3.0
0,1,1,18,1,1,0,-49.0,-32.0,3.0
0,0,1,18,1,1,0,-49.0,-32.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,17,1,1,0,-49.0,-33.0,3.0
0,1,2,17,1,1,0,-48.0,-33.0,3.0
0,1,2,18,1,1,0,-48.0,-32.0,3.0
0,1,2,19,1,1,0,-48.0,-31.0,3.0
0,1,1,19,1,1,0,-49.0,-31.0,3.0
0,0,1,19,1,1,0,-49.0,-31.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,18,1,1,0,-49.0,-32.0,3.0
0,1,2,18,1,1,0,-48.0,-32.0,3.0
0,1,2,19,1,1,0,-48.0,-31.0,3.0
0,1,2,20,1,1,0,-48.0,-30.0,3.0
0,1,1,20,1,1,0,-49.0,-30.0,3.0
0,0,1,20,1,1,0,-49.0,-30.0,3.0
